,url,domain,class
49,audio-direkt.net,audio-direkt,legit
50,globe-runners.com,globe-runners,legit
51,www.arki.com,arki,legit
52,lntnrzgkyswawkuz.com,lntnrzgkyswawkuz,dga
53,www.kingperu.com,kingperu,legit
54,homealone.no-ip.biz,no-ip,legit
55,eosmkdhwm.be,eosmkdhwm,dga
56,jeidoqmiv.kz,jeidoqmiv,dga
57,orsgyfcpthjvdxrvcu.com,orsgyfcpthjvdxrvcu,dga
58,lavadoeimagen.com,lavadoeimagen,legit
59,rructkrnh.pw,rructkrnh,dga
60,monterayswollshers.net,monterayswollshers,legit
61,i8.baidu.com,baidu,legit
62,runescape6.no-ip.org,no-ip,legit
63,fr-inst.windapp.net,windapp,legit
64,buildenergyefficienthomes.com,buildenergyefficienthomes,legit
65,dframirez.com,dframirez,legit
66,silvergnom.com,silvergnom,legit
67,kuikencareercoaching.nl,kuikencareercoaching,legit
68,api.pj3r0fus.com,pj3r0fus,dga
69,modelity.com,modelity,legit
70,server.myownc.com,myownc,legit
71,www.nysygvhtrqfrcudnqnhn,nysygvhtrqfrcudnqnhn,dga
72,vlxhxtmyw.com,vlxhxtmyw,legit
73,zxjfcvfvhqfqsrpz.onion.lt,onion,legit
74,lifeint.com.au,lifeint,legit
75,ude.conduit-data.com,conduit-data,legit
76,mmfpmmciuteodw.fr,mmfpmmciuteodw,dga
77,6.esmbm.info,esmbm,legit
78,syn.netbot.cc,netbot,legit
79,www.possiblesofttech.com,possiblesofttech,legit
80,mbwsulydhdouuuq.uk,mbwsulydhdouuuq,dga
81,koetterfireprotection.com,koetterfireprotection,legit
82,aethora.com,aethora,legit
83,vpicphumwodnoatp.com,vpicphumwodnoatp,dga
84,titikamaras.no-ip.biz,no-ip,legit
85,akuwv1fy736y8hdt.guodeira.cc,guodeira,legit
86,nwolpeqilyy.info,nwolpeqilyy,dga
87,tvndra.net,tvndra,legit
88,js.newcloudrack.com,newcloudrack,legit
89,owhcvpphjlhmmhsu.com,owhcvpphjlhmmhsu,dga
90,igor1337.ddnss.de,ddnss,legit
91,aa1.no-ip.info,no-ip,legit
92,altonhousehotel.com,altonhousehotel,legit
93,gyjnegmuiqoresj.com,gyjnegmuiqoresj,dga
94,spambox.su,spambox,legit
95,pf.dlcvit.com,dlcvit,legit
96,sock5.mooo.com,mooo,legit
97,vampirefreaks.com,vampirefreaks,legit
98,www.cleanerpro.net,cleanerpro,legit
99,testalerlynch.ddns.net,ddns,legit
100,chscreative.com,chscreative,legit
101,abus.sytes.net,sytes,legit
102,pmuyficrjmtartnzeouj.com,pmuyficrjmtartnzeouj,dga
103,nihnihnih.com,nihnihnih,legit
104,static.obtainmagno.com,obtainmagno,legit
105,notepadx.no-ip.org,no-ip,legit
106,ycyrorezu.de,ycyrorezu,legit
107,closedir.com,closedir,legit
108,basomuk.de,basomuk,legit
109,www.filmatelier.at,filmatelier,legit
110,waliu.no-ip.org,no-ip,legit
111,rhptjqv.uk,rhptjqv,dga
112,extraver.myjino.ru,myjino,legit
113,i9.baidu.com,baidu,legit
114,yqmodbxjxgczajstz.com,yqmodbxjxgczajstz,dga
115,t0nf1hr71qf7xf7rk.nmbc.cc,nmbc,legit
116,zjzyk.lyjq.org,lyjq,legit
117,www.bergenbier.ro,bergenbier,legit
118,thetacteam.com,thetacteam,legit
119,crackedhex.ru,crackedhex,legit
120,jarjvddjzqrmnepeqwd.com,jarjvddjzqrmnepeqwd,dga
121,jsqmt.qq.com,jsqmt,legit
122,upgrade.smart-web.me,smart-web,legit
123,www.homedecks.com,homedecks,legit
124,ezqif.su,ezqif,legit
125,100-pics.info,100-pics,legit
126,e-nrg.biz,e-nrg,legit
127,carkickz.com,carkickz,legit
128,peperoni.duckdns.org,duckdns,legit
129,xfjtwdfqwjjpgd.click,xfjtwdfqwjjpgd,dga
130,update.microsoftdownloading.com,microsoftdownloading,legit
131,geo.wipmania.net,wipmania,legit
132,gtpioobhtybknc.com,gtpioobhtybknc,dga
133,jifendownload.2345.cn,2345,legit
134,isuperopt.com,isuperopt,legit
135,alienware123.duckdns.org,duckdns,legit
136,bvilphnlxy.be,bvilphnlxy,dga
137,gxwasfvvvkdggsai.com,gxwasfvvvkdggsai,dga
138,litecoinpool.org,litecoinpool,legit
139,browserguard-a.akamaihd.net,akamaihd,legit
140,install-stats.com,install-stats,legit
141,raqgkpgovcseoatvke.com,raqgkpgovcseoatvke,dga
142,jlgmddbplri.pw,jlgmddbplri,dga
143,xnloppwhfamkcltuxkif.com,xnloppwhfamkcltuxkif,dga
144,d32k27yvyi4kmv.cloudfront.net,cloudfront,legit
145,kyuvishcxlwax.su,kyuvishcxlwax,dga
146,markus13.chickenkiller.com,chickenkiller,legit
147,api.downloadmr.com,downloadmr,legit
148,goyzrabbwcbmocpyysvv.com,goyzrabbwcbmocpyysvv,dga
149,ixyuh.ru,ixyuh,legit
150,ftp.dota2vzlom.zz.mu,ftp.dota2vzlom,dga
151,gltadb30.no-ip.biz,no-ip,legit
152,vuesd6f8p.bo0keego.cc,bo0keego,legit
153,brat.no-ip.org,no-ip,legit
154,ktbqomgixqhtsxevonpw.com,ktbqomgixqhtsxevonpw,dga
155,facebegen.com,facebegen,legit
156,tritono.pt,tritono,legit
157,www.proevo.com.br,proevo,legit
158,glmghotels.com,glmghotels,legit
159,abuhasna.no-ip.org,no-ip,legit
160,fonts.gstatic.com,gstatic,legit
161,update.clientstaticserv.com,clientstaticserv,legit
162,root.zapto.org,zapto,legit
163,www.lavresearch.com,lavresearch,legit
164,yourmedialinkonline.com,yourmedialinkonline,legit
165,ihfwirrsvtlpbf.su,ihfwirrsvtlpbf,dga
166,stun.l.google.com,google,legit
167,winupfreee.no-ip.biz,no-ip,legit
168,lazyshare.net,lazyshare,legit
169,oktwaxcyehhkq.pw,oktwaxcyehhkq,dga
170,gtrgubhajpc.com,gtrgubhajpc,dga
171,lgsfbhyyrrnalpcbqkob.com,lgsfbhyyrrnalpcbqkob,dga
172,dckgfiogyzb.com,dckgfiogyzb,dga
173,elyseeinvestments.com,elyseeinvestments,legit
174,videohy.tc.qq.com,videohy.tc,legit
175,marchsf.com,marchsf,legit
176,buzzkillmedia.com,buzzkillmedia,legit
177,itzh4cked.byethost32.com,byethost32,legit
178,xqspgomj.click,xqspgomj,dga
179,lolwut.ddns.net,ddns,legit
180,gowfrfmxojdqvh.com,gowfrfmxojdqvh,dga
181,renovarweb.com,renovarweb,legit
182,loadlleader.net,loadlleader,legit
183,descubreveracruz.com,descubreveracruz,legit
184,structives.org,structives,legit
185,robertmcintyre.com.au,robertmcintyre,legit
186,otmelimp.com,otmelimp,legit
187,ramirada.com,ramirada,legit
188,flexnet.com.sg,flexnet,legit
189,oiwwemnyoe.at,oiwwemnyoe,dga
190,avisay.com,avisay,legit
191,emss8skcey.site,emss8skcey,dga
192,www.chriswolf.be,chriswolf,legit
193,www.msn.com,msn,legit
194,womenscourt.ca,womenscourt,legit
195,peqlrppxjiikhn.com,peqlrppxjiikhn,dga
196,smboy.su,smboy,legit
197,pmzfizaxd.com,pmzfizaxd,dga
198,qytjlnitsnmuo.us,qytjlnitsnmuo,dga
199,hakrouna.com,hakrouna,legit
200,interbit.gr,interbit,legit
201,feiups.com,feiups,legit
202,yjrdv.ru,yjrdv,legit
203,cbufznnmmjg.com,cbufznnmmjg,dga
204,j.maxmind.com,maxmind,legit
205,sniperhacker.no-ip.org,no-ip,legit
206,2-vinstaller.com,2-vinstaller,legit
207,beafekweb.kz,beafekweb,legit
208,u.dl.baofeng.com,baofeng,legit
209,kxaptztmaqjbaquyojb.com,kxaptztmaqjbaquyojb,dga
210,l,l,legit
211,mafia123.no-ip.biz,no-ip,legit
212,maiiratboii.no-ip.biz,no-ip,legit
213,music.mbsaeger.com,mbsaeger,legit
214,qhqswygmgxekdxo.click,qhqswygmgxekdxo,dga
215,linbzxpkmdtngnbdg.com,linbzxpkmdtngnbdg,dga
216,level-users.info,level-users,legit
217,dyn.kuaibo.com,kuaibo,legit
218,paff.li,paff,legit
219,iploc.kuaibo.com,kuaibo,legit
220,logs.newdemoonlinecloud.com,newdemoonlinecloud,legit
221,kj1.no-ip.info,no-ip,legit
222,dl.newgenonlinesrv.com,newgenonlinesrv,legit
223,www.systclean.com,systclean,legit
224,khssfjxibx.pw,khssfjxibx,dga
225,stat.miniload.org,miniload,legit
226,xyulx.com,xyulx,legit
227,shethawler.no-ip.biz,no-ip,legit
228,sxcjhovf.click,sxcjhovf,dga
229,adultlivechat.us,adultlivechat,legit
230,sortedorganizing.com,sortedorganizing,legit
231,media.offaoffa.com,offaoffa,legit
232,f81.joshuazeidner.com,joshuazeidner,legit
233,enter432.eu,enter432,legit
234,kharroubiabed.zapto.org,zapto,legit
235,mortgagesquad.ca,mortgagesquad,legit
236,download.gilisoft.com,gilisoft,legit
237,5noseqwa.no-ip.info,no-ip,legit
238,virus-protector1.no-ip.biz,no-ip,legit
239,ggspyfmreouxnhqi.com,ggspyfmreouxnhqi,dga
240,ikkiaokoxzvm.com,ikkiaokoxzvm,legit
241,www.kafrit.com,kafrit,legit
242,lpeuvn.org,lpeuvn,legit
243,dk8801.103ayzya.com,103ayzya,dga
244,www.qualitypianomoving.com,qualitypianomoving,legit
245,hubbywifeco.com,hubbywifeco,legit
246,777cd.info,777cd,legit
247,vostorgspa.kz,vostorgspa,legit
248,wawh.3322.org,3322,legit
249,log.data-url.com,data-url,legit
250,microsecurhostx2.fagdns.com,fagdns,legit
251,stormstresser.net,stormstresser,legit
252,osouji-school.com,osouji-school,legit
253,checkip.dyndns.org,dyndns,legit
254,yjghnpukyqy.com,yjghnpukyqy,dga
255,oojsmcdvvzurfcjnmxyt.com,oojsmcdvvzurfcjnmxyt,dga
256,englkensteins.net,englkensteins,legit
257,fawkes.zapto.org,zapto,legit
258,trittou.no-ip.org,no-ip,legit
259,serverus.no-ip.info,no-ip,legit
260,dso.coolcatstore.com,coolcatstore,legit
261,tbpahmcmoyywvh.com,tbpahmcmoyywvh,dga
262,js.clientstaticserv.com,clientstaticserv,legit
263,avmyuqw.su,avmyuqw,dga
264,edwardalba.com,edwardalba,legit
265,brijindia.com,brijindia,legit
266,blahhhhh.servebeer.com,servebeer,legit
267,kowvfrrssstg.ru,kowvfrrssstg,dga
268,dctest8613.jumpingcrab.com,jumpingcrab,legit
269,ibeqygcqwpazgjpcf.com,ibeqygcqwpazgjpcf,dga
270,ttxhqqdhwccx.ru,ttxhqqdhwccx,dga
271,dl.zaycev.net,zaycev,legit
272,covermontislol.com,covermontislol,legit
273,ouefuguefhuwuhs.ru,ouefuguefhuwuhs,dga
274,europe.pool.ntp.org,ntp,legit
275,tamayk-kicker.de,tamayk-kicker,legit
276,ttaebamktjdbizrnqxp.com,ttaebamktjdbizrnqxp,dga
277,ltcfpuctidqqqxxzpikz.com,ltcfpuctidqqqxxzpikz,dga
278,cdn2.downloadcrest.com,downloadcrest,legit
279,bi.bisrv.com,bisrv,legit
280,www.paritariaimmacolata.it,paritariaimmacolata,legit
281,aq.qq.com,aq,legit
282,niggerbasketdickfag.ddns.net,ddns,legit
283,sligf.su,sligf,legit
284,oiflz.su,oiflz,legit
285,hhvgiwtwhk.at,hhvgiwtwhk,dga
286,geothermusa.com,geothermusa,legit
287,bak-rajo.no-ip.biz,no-ip,legit
288,api.wipmania.com,wipmania,legit
289,staticrr.sslsecure9.com,sslsecure9,legit
290,ayylmao2.duckdns.org,duckdns,legit
291,slowpocka.net,slowpocka,legit
292,denville.ca,denville,legit
293,nyidlahebhf.mooo.com ,mooo,legit
294,nufgitqogq.kz,nufgitqogq,dga
295,bmi.net,bmi,legit
296,jd7263yebd830oiu.cc,jd7263yebd830oiu,dga
297,breitonbig.com,breitonbig,legit
298,code.jquery.com,jquery,legit
299,mydojltbqjnwailyyoa.com,mydojltbqjnwailyyoa,dga
300,download.mozilla.org,mozilla,legit
301,itsbanter.no-ip.org,no-ip,legit
302,ip.taobao.com,taobao,legit
303,harveyouellet.com,harveyouellet,legit
304,asterisk.com.sg,asterisk,legit
305,www.florerialasfrecias.com,florerialasfrecias,legit
306,glmisoefbos.com,glmisoefbos,dga
307,www.brainydownload.com,brainydownload,legit
308,wqpqp.com,wqpqp,legit
309,link.mypcbackup.com,mypcbackup,legit
310,caspencer.ca,caspencer,legit
311,staticrr.sslsecure7.com,sslsecure7,legit
312,ohrpszrfydauhfuzyzbk.com,ohrpszrfydauhfuzyzbk,dga
313,austriansurfing.at,austriansurfing,legit
314,name.termsoar.com,termsoar,legit
315,lcydsrolcfvf.org,lcydsrolcfvf,dga
316,aymen01.no-ip.biz,no-ip,legit
317,radadara.com,radadara,legit
318,todayinbermuda.co,todayinbermuda,legit
319,vbates.s3.amazonaws.com,amazonaws,legit
320,www.hngdecor.com,hngdecor,legit
321,dnf.qq.com,dnf,legit
322,myimpactblog.com,myimpactblog,legit
323,hackenwhatsapp.com,hackenwhatsapp,legit
324,ww29.2-vinstaller.com,2-vinstaller,legit
325,6666.jiuzhedian.com,jiuzhedian,legit
326,ibf-cmi-1938953175.us-east-1.elb.amazonaws.com,amazonaws,legit
327,procjnamri.info,procjnamri,legit
328,gwtdi.com,gwtdi,legit
329,globalwestz.biz,globalwestz,legit
330,ktnpeigebccttk.com,ktnpeigebccttk,legit
331,exactconstruction.co.uk,exactconstruction,legit
332,spsil.in,spsil,legit
333,ejfcl.ru,ejfcl,legit
334,sarpy.com,sarpy,legit
335,opsannonity2.i234.me,i234,legit
336,winggo.co.kr,winggo,legit
337,rauggyguyp.com,rauggyguyp,dga
338,polyhedrusgroup.com,polyhedrusgroup,legit
339,leeburton1.no-ip.biz,no-ip,legit
340,focboql.ru,focboql,legit
341,ssl.google-analytics.com,google-analytics,legit
342,c4chtormey.site,c4chtormey,legit
343,jtxicijqxt.uk,jtxicijqxt,dga
344,sv.symcb.com,symcb,legit
345,ratulahmed.no-ip.biz,no-ip,legit
346,buhjolk.at,buhjolk,dga
347,milan956000.no-ip.org,no-ip,legit
348,ivupzcfortqwc.com,ivupzcfortqwc,dga
349,stepnet.de,stepnet,legit
350,globalrealty-nyc.info,globalrealty-nyc,legit
351,nichedictionary.com,nichedictionary,legit
352,twnojbfrsryuuhsxv.com,twnojbfrsryuuhsxv,dga
353,freegeoip.net,freegeoip,legit
354,www.netflix.com,netflix,legit
355,thesergery.com,thesergery,legit
356,bzbs.su,bzbs,legit
357,homedecks.com,homedecks,legit
358,fo0ky42my0v8u.bo0keego.cc,bo0keego,legit
359,xn--22c6bfh8abch1g1b0ap6a9vxa.com,xn--22c6bfh8abch1g1b0ap6a9vxa,dga
360,ads.cloud4ads.com,cloud4ads,legit
361,down.baidu2016.com,baidu2016,legit
362,pucifetxeadgvoweb.su,pucifetxeadgvoweb,dga
363,stats.newgenonlinesrv.com,newgenonlinesrv,legit
364,setupfreesoftware.com,setupfreesoftware,legit
365,stats.newdemoonlinecloud.com,newdemoonlinecloud,legit
366,netraverse.com,netraverse,legit
367,nkatoz.com,nkatoz,legit
368,wyuhdsdttczd.com,wyuhdsdttczd,dga
369,hrbkzpoytss.com,hrbkzpoytss,dga
370,aoci.su,aoci,legit
371,cc.23moyu.com,23moyu,legit
372,pqvcwafqp.pw,pqvcwafqp,dga
373,viweabkkfe.com,viweabkkfe,dga
374,yumproject.com,yumproject,legit
375,chriswolf.be,chriswolf,legit
376,gamblingonlinemagazine.com,gamblingonlinemagazine,legit
377,yhsfd.com,yhsfd,legit
378,insidiouscoder.com,insidiouscoder,legit
379,js.newdemoonlinecloud.com,newdemoonlinecloud,legit
380,install.airglobeapp.com,airglobeapp,legit
381,kievandmoskaustt.in,kievandmoskaustt,legit
382,newwork.hostoi.com,hostoi,legit
383,cdn2.downloadaxel.com,downloadaxel,legit
384,c2.allocal.info,allocal,legit
385,0d4y.0fees.us,0fees,legit
386,gfpshoppingcarts.net,gfpshoppingcarts,legit
387,track.v2.sslsecure4.com,sslsecure4,legit
388,kylqs.ru,kylqs,legit
389,comodororox.crabdance.com,crabdance,legit
390,awocbrtykjr.de,awocbrtykjr,dga
391,tracking.uniblue.com,uniblue,legit
392,b.greenpipesky.com,greenpipesky,legit
393,zinoveva.xyz,zinoveva,legit
394,vianet.com.mx,vianet,legit
395,ano.no-ip.info,no-ip,legit
396,ymphhjvrwetd.su,ymphhjvrwetd,dga
397,vxlkofoazme.com,vxlkofoazme,dga
398,avant-ime.com,avant-ime,legit
399,stixio.chickenkiller.com,chickenkiller,legit
400,wurzuqeozoueztuzqe.ru,wurzuqeozoueztuzqe,dga
401,vol.com,vol,legit
402,staticrr.sslsecure10.com,sslsecure10,legit
403,www.oracle.com,oracle,legit
404,fruchtmanlegal.com,fruchtmanlegal,legit
405,ggssu.us,ggssu,legit
406,tripizer.com,tripizer,legit
407,areafor.com,areafor,legit
408,mydowncenter.me,mydowncenter,legit
409,googleads.g.doubleclick.net,doubleclick,legit
410,njratmodz.no-ip.biz,no-ip,legit
411,raduolteanu.com,raduolteanu,legit
412,iufmmhtfuglkewvyrira.com,iufmmhtfuglkewvyrira,dga
413,rap1215.servemp3.com,servemp3,legit
414,faruznumilaf.kz,faruznumilaf,legit
415,crankshit2.duckdns.org,duckdns,legit
416,schalfer.no-ip.org,no-ip,legit
417,rea-soft.ru,rea-soft,legit
418,slimoh.net16.net,net16,legit
419,basco55.myftp.org,myftp,legit
420,g.symcb.com,symcb,legit
421,listsearchfind.com,listsearchfind,legit
422,frunyozlytpzso.com,frunyozlytpzso,dga
423,pchjwpiyd.com,pchjwpiyd,dga
424,download.webbels.info,webbels,legit
425,www.foxglove-download.com,foxglove-download,legit
426,hotmaik.com,hotmaik,legit
427,bptjsovoeuv.pl,bptjsovoeuv,dga
428,mintslisten.biz,mintslisten,legit
429,www.coop.nl,coop,legit
430,chraxan.no-ip.biz,no-ip,legit
431,wlofbig100.no-ip.biz,no-ip,legit
432,ossweb-img.qq.com,ossweb-img,legit
433,tjqvqoznelrbn.com,tjqvqoznelrbn,dga
434,ulcndsu.org,ulcndsu,dga
435,koerlonbiz.fagdns.com,fagdns,legit
436,alternative-aquitaine.co.uk,alternative-aquitaine,legit
437,xtvklujmo.com,xtvklujmo,dga
438,logs.gencloudex.com,gencloudex,legit
439,swinpintin.com,swinpintin,legit
440,dgtnpjulzbjy.com,dgtnpjulzbjy,dga
441,vifsreann.pw,vifsreann,legit
442,d-j-b.net,d-j-b,legit
443,aff-software.s3-website-us-east-1.amazonaws.com,amazonaws,legit
444,afececrkycbeyqm.com,afececrkycbeyqm,legit
445,beechwoodmetalworks.com,beechwoodmetalworks,legit
446,kusbtwvxbghniubs.pw,kusbtwvxbghniubs,dga
447,update.newdemoonlinecloud.com,newdemoonlinecloud,legit
448,zmfcmghjbpbxwn.com,zmfcmghjbpbxwn,dga
449,konishi-hp.com,konishi-hp,legit
450,biurimex.pl,biurimex,legit
451,dgp-vision.de,dgp-vision,legit
452,iheartshop.net,iheartshop,legit
453,shadow-ghost.no-ip.org,no-ip,legit
454,webtools.avanquest.com,avanquest,legit
455,www.ip2nation.com,ip2nation,legit
456,racknstackwarehouse.com.au,racknstackwarehouse,legit
457,netscape.net,netscape,legit
458,edisldey.info,edisldey,legit
459,ibuildchoppers.com,ibuildchoppers,legit
460,crt.comodoca.com,comodoca,legit
461,korta-sa.com,korta-sa,legit
462,neiknesshigh.ru,neiknesshigh,legit
463,ehusbglcrddk.pl,ehusbglcrddk,dga
464,test333.no-ip.org,no-ip,legit
465,legendz.ddns.net,ddns,legit
466,edge-institut.org,edge-institut,legit
467,smtp.web.de,web,legit
468,r1.joburnt.net,joburnt,legit
469,fuzzyhf.duckdns.org,duckdns,legit
470,columnname.orgfree.com,orgfree,legit
471,motivboot.de,motivboot,legit
472,bxxwhkcmmlnnwo.su,bxxwhkcmmlnnwo,dga
473,babyslutsnil.com,babyslutsnil,legit
474,dptfictbpnowstziry.com,dptfictbpnowstziry,legit
475,ilovecats109.no-ip.org,no-ip,legit
476,nutqauytva3azxd.com,nutqauytva3azxd,dga
477,jcylvtacwnluvp.biz,jcylvtacwnluvp,dga
478,blushschoolofcosmeticsandbeauty.com,blushschoolofcosmeticsandbeauty,legit
479,finalrival.no-ip.biz,no-ip,legit
480,www.informaticauno.net,informaticauno,legit
481,dl.dropbox.com,dropbox,legit
482,www.jdautocentergyn.com.br,jdautocentergyn,legit
483,kllck.su,kllck,legit
484,nivtnenfincvrkvb.pl,nivtnenfincvrkvb,dga
485,s9.postimg.org,postimg,legit
486,nutqauytva5azxd.com,nutqauytva5azxd,dga
487,migente.com,migente,legit
488,mycojenxktsmozzthdv.com,mycojenxktsmozzthdv,dga
489,suspendedwar.com,suspendedwar,legit
490,g57nup.no-ip.biz,no-ip,legit
491,alpachinonino.com,alpachinonino,legit
492,stun1.voiceeclipse.net,voiceeclipse,legit
493,doradoresources.com,doradoresources,legit
494,www.interiorgallery.in,interiorgallery,legit
495,kowvfrrssstg.com,kowvfrrssstg,dga
496,www.site.com,site,legit
497,xuyskazsbzq.biz,xuyskazsbzq,dga
498,j.union.ijinshan.com,ijinshan,legit
499,bringsomedata.net,bringsomedata,legit
500,genmar.gen.tr,genmar,legit
501,solutioncorp.com,solutioncorp,legit
502,pjgwxsqwbdqh.com,pjgwxsqwbdqh,dga
503,dmczvx60uvf4s.cloudfront.net,cloudfront,legit
504,la-majeur.com,la-majeur,legit
505,maxars.no-ip.biz,no-ip,legit
506,desertionsirc.no-ip.biz,no-ip,legit
507,secure.3-pn-installer.com,3-pn-installer,legit
508,7826487-1752243102.eu-west-1.elb.amazonaws.com,amazonaws,legit
509,www.saios.net,saios,legit
510,towhyechciopdte.com,towhyechciopdte,legit
511,nsclick.baidu.com,baidu,legit
512,amatebisuteria.es,amatebisuteria,legit
513,anonlegion.zapto.org,zapto,legit
514,beejunklee.info,beejunklee,legit
515,ehogonobi.de,ehogonobi,legit
516,honeysingh007.no-ip.biz,no-ip,legit
517,hungarymethis.com,hungarymethis,legit
518,track.v2.sslsecure6.com,sslsecure6,legit
519,zakariaxhack.no-ip.biz,no-ip,legit
520,cfgn.ru,cfgn,legit
521,api.woodenseal.com,woodenseal,legit
522,sandsca.com.au,sandsca,legit
523,mimosdelicias.com.br,mimosdelicias,legit
524,hngdecor.com,hngdecor,legit
525,world-net.co.nz,world-net,legit
526,z1.zedo.com,zedo,legit
527,golfpark-moossee.ch,golfpark-moossee,legit
528,afs.com.es,afs,legit
529,error.hostinger.eu,hostinger,legit
530,front6.omegle.com,omegle,legit
531,api.wiseinstaller.net,wiseinstaller,legit
532,owinupebe.de,owinupebe,legit
533,capitalcitytuxedo.com,capitalcitytuxedo,legit
534,vltnftcjrzrxnhfwgf.com,vltnftcjrzrxnhfwgf,dga
535,heliomare.nl,heliomare,legit
536,dlerkfre.no-ip.biz,no-ip,legit
537,images.imagesdownloader.com,imagesdownloader,legit
538,fleshercorp.com,fleshercorp,legit
539,chocolatecovers.com,chocolatecovers,legit
540,watch-fp.ca,watch-fp,legit
541,chbqrhunxg.com,chbqrhunxg,dga
542,starmedia.ca,starmedia,legit
543,energysavingproductsinfo.com,energysavingproductsinfo,legit
544,staticrr.sslsecure1.com,sslsecure1,legit
545,hfxueazawjagnbfdlw.com,hfxueazawjagnbfdlw,dga
546,qglomvqefgu.work,qglomvqefgu,dga
547,wdokwuroouaklzwudo.ru,wdokwuroouaklzwudo,dga
548,dominikanabestplace.com,dominikanabestplace,legit
549,proevo.com.br,proevo,legit
550,crl.globalsign.net,globalsign,legit
551,orkfngmp.com,orkfngmp,dga
552,divioserv.ro,divioserv,legit
553,vyxrjoejlqxdal.pw,vyxrjoejlqxdal,dga
554,guterprova.com,guterprova,legit
555,kurd99.no-ip.biz,no-ip,legit
556,stun.kuaibo.com,kuaibo,legit
557,cbsprinting.com.au,cbsprinting,legit
558,asusoftware.no-ip.org,no-ip,legit
559,immikejones.no-ip.info,no-ip,legit
560,rainbownews.in,rainbownews,legit
561,camelzftw.ddns.net,ddns,legit
562,cdvdzllc.com,cdvdzllc,dga
563,e-storming.com,e-storming,legit
564,static.4magno.com,4magno,legit
565,www.australia-citizenshiptest.com,australia-citizenshiptest,legit
566,nataliecurtiss.com,nataliecurtiss,legit
567,centrum.co.id,centrum,legit
568,mpkkitchens.com,mpkkitchens,legit
569,t11.baidu.com,baidu,legit
570,smithlyrat.no-ip.biz,no-ip,legit
571,sjytgtnkdl.com,sjytgtnkdl,dga
572,songman2.no-ip.biz,no-ip,legit
573,yrcvxkqumod.com,yrcvxkqumod,dga
574,sparrowwilla.biz,sparrowwilla,legit
575,www.duduok.net,duduok,legit
576,cabooseonline.com,cabooseonline,legit
577,tl.symcb.com,symcb,legit
578,powerturk.rocks,powerturk,legit
579,hobange89.zapto.org,zapto,legit
580,offnamerty.ru,offnamerty,legit
581,svoirdwiz.biz,svoirdwiz,legit
582,lollipopus.net,lollipopus,legit
583,ww29.api.obtainmagno.com,obtainmagno,legit
584,sd-it-team.de,sd-it-team,legit
585,dkumikeu.su,dkumikeu,legit
586,fofhihihienfospf.ru,fofhihihienfospf,dga
587,jejmxwhnqb.it,jejmxwhnqb,dga
588,up.fdcc3.info,fdcc3,legit
589,update.newinputinfoservice.com,newinputinfoservice,legit
590,smtp.gmail.com,gmail,legit
591,data.bd-pl.com,bd-pl,legit
592,americamoveis.com,americamoveis,legit
593,c.baidu.com,baidu,legit
594,xgrcl.pm,xgrcl,legit
595,oeuuguhwugfuuws.ru,oeuuguhwugfuuws,dga
