,url,domain,class
81,aclibre.org,aclibre,legit
82,4evernails.nl,4evernails,legit
83,audio-direkt.net,audio-direkt,legit
84,rycizuv.info,rycizuv,legit
85,lndrfftxuxufm.com,lndrfftxuxufm,dga
86,pupodal.info,pupodal,legit
87,wcsu.edu,wcsu,legit
88,4lolohme.no-ip.biz,no-ip,legit
89,adsmegaupdate.com,adsmegaupdate,legit
90,data-playfile.in,data-playfile,legit
91,lavadoeimagen.com,lavadoeimagen,legit
92,i8.baidu.com,baidu,legit
93,gndavhihbdo.com,gndavhihbdo,dga
94,re4rwe3sg4744pps5e.info,re4rwe3sg4744pps5e,dga
95,mapiuigjtnafzcnu.ru,mapiuigjtnafzcnu,dga
96,lenksqxlffjfnmxv.biz,lenksqxlffjfnmxv,dga
97,whegtkhz.com,whegtkhz,dga
98,suspended.no-ip.biz,no-ip,legit
99,buildenergyefficienthomes.com,buildenergyefficienthomes,legit
100,thesocialgrub.com,thesocialgrub,legit
101,ipwnedx81.no-ip.org,no-ip,legit
102,stats.ourstatssrv.com,ourstatssrv,legit
103,jicylegavade.com,jicylegavade,legit
104,mmdchhrh.com,mmdchhrh,dga
105,sapucuwumaser.com,sapucuwumaser,legit
106,worldsuperwater.com,worldsuperwater,legit
107,bshades.no-ip.info,no-ip,legit
108,srhhealthfoods.com,srhhealthfoods,legit
109,mas.univie.ac.at,univie,legit
110,tagellner.com,tagellner,legit
111,ijxahlsdiw.com,ijxahlsdiw,dga
112,joosnc.com,joosnc,legit
113,dinifuxariqi.com,dinifuxariqi,legit
114,dnet02.no-ip.info,no-ip,legit
115,tibaciwof.com,tibaciwof,legit
116,1bs44.no-ip.info,no-ip,legit
117,rapidname.co.cc,rapidname,legit
118,dnmlwazjqmkhp.com,dnmlwazjqmkhp,dga
119,ourdatatransfers.com,ourdatatransfers,legit
120,ohsolzgiwl.net,ohsolzgiwl,dga
121,solitmo.com,solitmo,legit
122,atomchilla.com,atomchilla,legit
123,biogenx.net,biogenx,legit
124,dimeblade.no-ip.biz,no-ip,legit
125,016b7f6.netsolhost.com,netsolhost,legit
126,dywetonafape.com,dywetonafape,legit
127,titikamaras.no-ip.biz,no-ip,legit
128,s3-eu-west-1.amazonaws.com,amazonaws,legit
129,worldsswebs.ru,worldsswebs,legit
130,genesissec.cu.cc,genesissec,legit
131,dj0.baidu.com,baidu,legit
132,licke.net,licke,legit
133,walla.com,walla,legit
134,alabamaenergysuppliers.com,alabamaenergysuppliers,legit
135,chickenkiller.com,chickenkiller,legit
136,owhcvpphjlhmmhsu.com,owhcvpphjlhmmhsu,dga
137,searchborn.org,searchborn,legit
138,iqgjyzra.cz.cc,iqgjyzra,dga
139,ypwubsqx.com,ypwubsqx,dga
140,1463048075.httpgo.net,httpgo,legit
141,ehfck.su,ehfck,legit
142,install.adanak.net,adanak,legit
143,sock5.mooo.com,mooo,legit
144,smartexpress.co.cc,smartexpress,legit
145,testalerlynch.ddns.net,ddns,legit
146,qbvwner.net,qbvwner,legit
147,y210xc.suras-ip.com,suras-ip,legit
148,bluelight.com,bluelight,legit
149,s2s.fr,s2s,legit
150,vqurlimfhvxttpjr.com,vqurlimfhvxttpjr,dga
151,gmgmwwu.fr,gmgmwwu,dga
152,3testhost76543.no-ip.org,no-ip,legit
153,clickbought.org,clickbought,legit
154,pze44ea.TWOTWOC.COM,TWOTWOC,legit
155,albabmich.in,albabmich,legit
156,tupnirrilqaf.kz,tupnirrilqaf,dga
157,alpha.ohost.com.ua,ohost,legit
158,freefilesarchive.in,freefilesarchive,legit
159,findtalk.org,findtalk,legit
160,ewolufuki.pl,ewolufuki,legit
161,dharmaking.net,dharmaking,legit
162,yellowhotdog.xe.cx,yellowhotdog,legit
163,furious.bounceme.net,bounceme,legit
164,findvisitor.org,findvisitor,legit
165,fdbqesjxvs.biz,fdbqesjxvs,dga
166,searchwhine.org,searchwhine,legit
167,hmvmgywkvayilcwh.ru,hmvmgywkvayilcwh,dga
168,2martin1000.zapto.org,zapto,legit
169,hotelristorante.net,hotelristorante,legit
170,s.downloadnow3.com,downloadnow3,legit
171,getcodpen.com,getcodpen,legit
172,ns.uk2.net,uk2,legit
173,one.myanmarsar.org,myanmarsar,legit
174,webound.com,webound,legit
175,egbmbdey.tv,egbmbdey,dga
176,fzcnuyiqrrkriwex.ru,fzcnuyiqrrkriwex,dga
177,jkqhomcmapiuigjtna.ru,jkqhomcmapiuigjtna,dga
178,martin1000.zapto.org,zapto,legit
179,ba46c2a4ff70ac6e.andromeda.pe.kr,andromeda,legit
180,ezqif.su,ezqif,legit
181,findexperie.org,findexperie,legit
182,vismake.in,vismake,legit
183,smtp.compuserve.com,compuserve,legit
184,egbusinessbroker.com,egbusinessbroker,legit
185,barron0.ce.ms,barron0,legit
186,everglissen.redirectme.net,redirectme,legit
187,wkyrjyuvvl.biz,wkyrjyuvvl,dga
188,fyvamomadebet.com,fyvamomadebet,legit
189,img197-imageshack.info,img197-imageshack,legit
190,www.solutioncorp.com,solutioncorp,legit
191,domainserrnosream.net,domainserrnosream,legit
192,moviedeainstall.com,moviedeainstall,legit
193,mynewhostt.no-ip.biz,no-ip,legit
194,magicdefender.co.cc,magicdefender,legit
195,api.filermagno.com,filermagno,legit
196,6charlatan.no-ip.biz,no-ip,legit
197,www.advanpromo.com,advanpromo,legit
198,www.fiftypercentworker.com,fiftypercentworker,legit
199,install-stats.com,install-stats,legit
200,5zeroexe.no-ip.org,no-ip,legit
201,dynamicusers.co.cc,dynamicusers,legit
202,byargroup.cu.cc,byargroup,legit
203,xzx.otzo.com,otzo,legit
204,findarter.org,findarter,legit
205,delicateglass.cw.cm,delicateglass,legit
206,raqgkpgovcseoatvke.com,raqgkpgovcseoatvke,dga
207,installcash.co.cc,installcash,legit
208,otexysysu.pl,otexysysu,legit
209,1461635317.net-testhdd.us,net-testhdd,legit
210,boyyhacker.zapto.org,zapto,legit
211,vucrjyr.co.cc,vucrjyr,dga
212,ibgnhtzxtwaedayhtgpjbiozus.info,ibgnhtzxtwaedayhtgpjbiozus,dga
213,xnloppwhfamkcltuxkif.com,xnloppwhfamkcltuxkif,dga
214,dell007.hopto.org,hopto,legit
215,diansolutions.com,diansolutions,legit
216,5.9.191.190aaa,190aaa,legit
217,kingogle.cu.cc,kingogle,legit
218,agljlmnpppjcamhq.com,agljlmnpppjcamhq,dga
219,prof.agence-exclusive.com,agence-exclusive,legit
220,ngnetworld.com,ngnetworld,legit
221,www.adshost2.com,adshost2,legit
222,fileice.net,fileice,legit
223,lihatfilm.com,lihatfilm,legit
224,teamworks.com.mx,teamworks,legit
225,ehow.com,ehow,legit
226,d.adxcore.com,adxcore,legit
227,www.babylon.com,babylon,legit
228,animalwelfare.ro,animalwelfare,legit
229,002dxf.eu,002dxf,legit
230,www.weddingbee.com,weddingbee,legit
231,wqnefkerofcmrap.com,wqnefkerofcmrap,legit
232,qzwopcaza.biz,qzwopcaza,dga
233,searchmiddle.org,searchmiddle,legit
234,lupipasokondera.servehttp.com,servehttp,legit
235,r1.loversion.com,loversion,legit
236,1black7.no-ip.info,no-ip,legit
237,brethart95.com,brethart95,legit
238,american.edu,american,legit
239,fonts.gstatic.com,gstatic,legit
240,daddywhere.nl.ai,daddywhere,legit
241,thephoenixmovie.com,thephoenixmovie,legit
242,udhzz.super-promo.0518.pics,0518,legit
243,hfnetwire.no-ip.info,no-ip,legit
244,ugcfzccgk.biz,ugcfzccgk,dga
245,russiantraff.ru,russiantraff,legit
246,13k0ch37.no-ip.biz,no-ip,legit
247,www.lavresearch.com,lavresearch,legit
248,eeerr.ce.ms,eeerr,legit
249,dnmertuywerert353363.info,dnmertuywerert353363,dga
250,www.accel.lt,accel,legit
251,www.homepa.ge,homepa,legit
252,40zone.com,40zone,legit
253,rukizypufygejy.com,rukizypufygejy,dga
254,wixmansehcwwdttuo.com,wixmansehcwwdttuo,dga
255,stun.l.google.com,google,legit
256,zikudeqeqite.com,zikudeqeqite,dga
257,superoptimizertime.net,superoptimizertime,legit
258,5vvs.no-ip.info,no-ip,legit
259,setup2.1stbrowser.com,1stbrowser,legit
260,lazyshare.net,lazyshare,legit
261,cindy.easyanticheat.net,easyanticheat,legit
262,mukrwrh.co.cc,mukrwrh,dga
263,seminarserver.com,seminarserver,legit
264,dhtbtuxwlbscf.com,dhtbtuxwlbscf,dga
265,4evermusic.pl,4evermusic,legit
266,elyseeinvestments.com,elyseeinvestments,legit
267,up.filesnow.info,filesnow,legit
268,yixhrfjrndb.tv,yixhrfjrndb,dga
269,topreaction.co.cc,topreaction,legit
270,mmrjevpdwagcg.com,mmrjevpdwagcg,dga
271,capsnregalia.com,capsnregalia,legit
272,hyrbsbmuhdbjxc.com,hyrbsbmuhdbjxc,dga
273,buzzkillmedia.com,buzzkillmedia,legit
274,www.inot.ro,inot,legit
275,d4rkp00l.com,d4rkp00l,dga
276,reguo.no-ip.biz,no-ip,legit
277,bvacyicvrmexf.com,bvacyicvrmexf,dga
278,renderingoptimization.info,renderingoptimization,legit
279,clickwrestle.org,clickwrestle,legit
280,anonymous169.no-ip.biz,no-ip,legit
281,api.exip.org,exip,legit
282,canadaip.no-ip.info,no-ip,legit
283,www.abbdeiiojiiotrt234234.com,abbdeiiojiiotrt234234,dga
284,box7.host1free.com,host1free,legit
285,1683db84b522c97e.guard-your-pc.com,guard-your-pc,legit
286,hxdciyl.info,hxdciyl,dga
287,trustedproduct.co.cc,trustedproduct,legit
288,www.nscover.pe.kr,nscover,legit
289,searchatlantic.org,searchatlantic,legit
290,15vn8q8yoludmj0dk3f1u4b3nm.org,15vn8q8yoludmj0dk3f1u4b3nm,dga
291,suloora.ce.ms,suloora,legit
292,1d86q8a1q42p9s1qc6n861e8hj0p.biz,1d86q8a1q42p9s1qc6n861e8hj0p,dga
293,jejudin.info,jejudin,legit
294,trueroast.vv.cc,trueroast,legit
295,www.showipaddress.com,showipaddress,legit
296,front4.omegle.com,omegle,legit
297,bzkth.su,bzkth,legit
298,ysyxumolo.pl,ysyxumolo,dga
299,etaxiuae.com,etaxiuae,legit
300,LCPLEFOBDJIKGKFJIEBOJHBBKKDEDOIBGLOEIOBILBFLOEIOBILBELNEHOBIJBC.LOEHOAIKBDLMEGOPHJBDLMEOAHLAFKODIACJLCFLOEIMBFLPEIOBILBCKBHLADK.MDGNAHKADKLDENNGJA.ns1.msffncsi.com,msffncsi,dga
301,cascotqhij.com,cascotqhij,legit
302,pubepujiwusiwy.com,pubepujiwusiwy,legit
303,interbit.gr,interbit,legit
304,searchdefiant.org,searchdefiant,legit
305,curseator.com,curseator,legit
306,fiddlestick.no-ip.org,no-ip,legit
307,0855-lp.gnway.net,gnway,legit
308,krpqjqcfw.com,krpqjqcfw,dga
309,track.outbrowse.com,outbrowse,legit
310,regfeedbackaccess.com,regfeedbackaccess,legit
311,whitfieldlanding.com,whitfieldlanding,legit
312,johigijito.com,johigijito,legit
313,wena11image.comuv.com,comuv,legit
314,kjykbubgadkfnoyw.ru,kjykbubgadkfnoyw,dga
315,falsprophet.no-ip.biz,no-ip,legit
316,aaaholic.com,aaaholic,legit
317,u.dl.baofeng.com,baofeng,legit
318,kxaptztmaqjbaquyojb.com,kxaptztmaqjbaquyojb,dga
319,mafia123.no-ip.biz,no-ip,legit
320,nosyfan.ru,nosyfan,legit
321,demodownload.image-line.com,image-line,legit
322,vicesite.co.cc,vicesite,legit
323,www.ikss520.com,ikss520,legit
324,lyyptrzfugnwoqbb.ru,lyyptrzfugnwoqbb,dga
325,hyjiwucugi.com,hyjiwucugi,dga
326,ptrjmdypngqstdwufvk.com,ptrjmdypngqstdwufvk,dga
327,ennior.net,ennior,legit
328,music.mbsaeger.com,mbsaeger,legit
329,combine.or.id,combine,legit
330,jhgdjdg.nl.ai,jhgdjdg,dga
331,1463632586.net-testhdd.us,net-testhdd,legit
332,marketathart.com,marketathart,legit
333,lonelyday03.in,lonelyday03,legit
334,maberture.com,maberture,legit
335,mirfr.pctuto.com,pctuto,legit
336,jnfmkychcydouuajc.com,jnfmkychcydouuajc,dga
337,ternvalleytinkers.com,ternvalleytinkers,legit
338,adminplagin.ru,adminplagin,legit
339,server-error.co.uk,server-error,legit
340,browserclick.co.cc,browserclick,legit
341,howareyou1122.com,howareyou1122,legit
342,report.boostsaves.com,boostsaves,legit
343,catalogs-546751.com,catalogs-546751,legit
344,coordinizespart.biz,coordinizespart,legit
345,heritageclothingcompany.com,heritageclothingcompany,legit
346,cexynudyto.com,cexynudyto,legit
347,cfggbgm.ru,cfggbgm,dga
348,hauvqjghelyqwtfsun.ru,hauvqjghelyqwtfsun,dga
349,mail.unomaha.edu,unomaha,legit
350,www.systclean.com,systclean,legit
351,htcomp.net,htcomp,legit
352,litubibam.com,litubibam,legit
353,www.easyprotect.co.kr,easyprotect,legit
354,americankoisociety.com,americankoisociety,legit
355,goldcockerelbooks.co.uk,goldcockerelbooks,legit
356,www2-ext-s.nflximg.net,nflximg,legit
357,placefortalk.net,placefortalk,legit
358,ipucfe.in,ipucfe,legit
359,clickusually.org,clickusually,legit
360,sortedorganizing.com,sortedorganizing,legit
361,tuwizug.info,tuwizug,dga
362,tkwlfqmiuiekfrkay.click,tkwlfqmiuiekfrkay,dga
363,nagygak.info,nagygak,legit
364,www.bethisraelcenter.org,bethisraelcenter,legit
365,nbqealvkhirjn.com,nbqealvkhirjn,dga
366,tasarim39.cu.cc,tasarim39,legit
367,xtremeproxy1.sytes.net,sytes,legit
368,xjxsswjhxpfekmlcwv.com,xjxsswjhxpfekmlcwv,dga
369,xjzsppylfhauvqjg.ru,xjzsppylfhauvqjg,dga
370,first-usapro.info,first-usapro,legit
371,kuukaarr03.com,kuukaarr03,legit
372,lcilxwvjjv.ru,lcilxwvjjv,dga
373,4almostthere.no-ip.biz,no-ip,legit
374,s.sortcheck.in,sortcheck,legit
375,lsawmyxqxvmogvxifm.com,lsawmyxqxvmogvxifm,dga
376,tswxyccnkjufwagt.ru,tswxyccnkjufwagt,dga
377,solidgain.co.cc,solidgain,legit
378,specializedaccess.co.uk,specializedaccess,legit
379,index.myftp.org,myftp,legit
380,soqunyzev.com,soqunyzev,dga
381,gsafhg.nl.ai,gsafhg,legit
382,hrrkhdsh.co.cc,hrrkhdsh,dga
383,worldmotoblo.com,worldmotoblo,legit
384,eqjwtdqtsyh.com,eqjwtdqtsyh,dga
385,sgimiytkanu.com,sgimiytkanu,dga
386,geoloc.iminent.com,iminent,legit
387,iibdbafng.com,iibdbafng,dga
388,rjrpexaicsdt.eu,rjrpexaicsdt,dga
389,update1.fhkwoet5776jdv.in,fhkwoet5776jdv,dga
390,vnkhdckmyccog.org,vnkhdckmyccog,dga
391,historykillerpro.com,historykillerpro,legit
392,qfngxknddy.com,qfngxknddy,dga
393,zarapetahuryp.com,zarapetahuryp,legit
394,adsfgadfdfa.com,adsfgadfdfa,legit
395,ha4x0r.no-ip.org,no-ip,legit
396,vwaeloyyutodtr.com,vwaeloyyutodtr,dga
397,theboswellsschool.co.uk,theboswellsschool,legit
398,1462836168.net-testhdd.us,net-testhdd,legit
399,xsso.searchmind.org,searchmind,legit
400,octbeer12.net,octbeer12,legit
401,4canadaip.no-ip.info,no-ip,legit
402,vicelab.co.cc,vicelab,legit
403,serverus.no-ip.info,no-ip,legit
404,thkqfhupjgknkqcxhou.com,thkqfhupjgknkqcxhou,dga
405,za1.november-lax.com,november-lax,legit
406,jdkuszs.info,jdkuszs,dga
407,superclan.1x.biz,superclan,legit
408,csrlink.net,csrlink,legit
409,internetsexcuritee4dummies.ru,internetsexcuritee4dummies,legit
410,walkforce.net,walkforce,legit
411,tbpahmcmoyywvh.com,tbpahmcmoyywvh,dga
412,jipkwdozez.org,jipkwdozez,dga
413,searchfindestimate.org,searchfindestimate,legit
414,edwardalba.com,edwardalba,legit
415,tnyshcut.biz,tnyshcut,dga
416,ladnimpir.kz,ladnimpir,legit
417,vzlom2.zapto.org,zapto,legit
418,4brokenisgod.no-ip.info,no-ip,legit
419,krexjdsamdx.com,krexjdsamdx,dga
420,open-932978.com,open-932978,dga
421,supqjqbos.com,supqjqbos,dga
422,google.de,google,legit
423,wpsjypn.biz,wpsjypn,dga
424,nkjufwagtlyyptrz.ru,nkjufwagtlyyptrz,dga
425,jijekoramukiw.com,jijekoramukiw,legit
426,marinesecurityindia.com,marinesecurityindia,legit
427,storeyourbox.com,storeyourbox,legit
428,lopadopa.dns05.com,dns05,legit
429,3ggfilhodapu.no-ip.biz,no-ip,legit
430,5cake6.no-ip.org,no-ip,legit
431,hldzml.ru,hldzml,legit
432,boardermail.com,boardermail,legit
433,cdn2.downloadcrest.com,downloadcrest,legit
434,viceones.co.cc,viceones,legit
435,aftfjuclhvdubfeuqs.com,aftfjuclhvdubfeuqs,dga
436,woajukco.info,woajukco,dga
437,qqgrlzaqzpnynodb.com,qqgrlzaqzpnynodb,dga
438,xvxynpdz.ru,xvxynpdz,dga
439,www.distrettolions108yb.org,distrettolions108yb,legit
440,wrffvnjkdhvlw.com,wrffvnjkdhvlw,dga
441,updatejava.sytes.net,sytes,legit
442,penangstreetfood.net,penangstreetfood,legit
443,qjyxfqehlkrkmdbe.com,qjyxfqehlkrkmdbe,dga
444,pgudmgt.com,pgudmgt,dga
445,staticrr.sslsecure9.com,sslsecure9,legit
446,inputboss.info,inputboss,legit
447,CBGKJDOBMHHIAMKGHOAIIBEEKODIMBELMEEOMHEBMKKFJPGJPCHMPFIPAJICAMI.FAPIIACJLAFJOGIEFDCHOLKLEDOLHDBLKDELNDHLACKKDCNNGFANJFDMMEGMPEJ.MCDMLFDPLICCKLCFNO.ns1.msffncsi.com,msffncsi,dga
448,zolujnafafj.net,zolujnafafj,dga
449,digitaco.com,digitaco,legit
450,logc202.xiti.com,xiti,legit
451,publichelper.in,publichelper,legit
452,szolqwtuqzgyaie.ignorelist.com,ignorelist,legit
453,imp.myappz02.com,myappz02,legit
454,imuqnrtccpissbmefte.com,imuqnrtccpissbmefte,dga
455,eu.springfile.org,springfile,legit
456,qwwltkyrg.info,qwwltkyrg,dga
457,vz777.com,vz777,legit
458,ftp.fungt.net16.net,net16,legit
459,cathynguyen.cu.cc,cathynguyen,legit
460,chillency.com,chillency,legit
461,potasajic.com,potasajic,legit
462,guorui052.gicp.com,gicp,legit
463,screamers3.ru,screamers3,legit
464,dsl.com,dsl,legit
465,otumwskowujs.pw,otumwskowujs,dga
466,sandpiperassets.com,sandpiperassets,legit
467,workfree.nl.ai,workfree,legit
468,x645.3utilities.com,3utilities,legit
469,rokyhepym.com,rokyhepym,legit
470,yaesbfejdxs.com,yaesbfejdxs,dga
471,smartflash.co.cc,smartflash,legit
472,pegevrf.info,pegevrf,legit
473,login.facebook.com,facebook,legit
474,wgyshoru.com,wgyshoru,legit
475,protectanalytics.co.cc,protectanalytics,legit
476,ancient-awakenings.com,ancient-awakenings,legit
477,dst-finance.com,dst-finance,legit
478,skazochnikvpole.com,skazochnikvpole,legit
479,arojwclm.com,arojwclm,dga
480,www.ilsietto.in,ilsietto,legit
481,APIIBCOBBFDDEMHOHOAIIBEEKODIMBELMEEOMHEBMKKFJPGJPCHMPFIPAJICAMI.FAPIIACJLAFJOGIEFDCHOLKLEDOLHDBLKDELNDHLACKKDCNNGFANJFDMMEGMPEJ.MCDMLFDPLICCKLCFNO.ns1.msffncsi.com,msffncsi,dga
482,ihmxosfcawljk.org,ihmxosfcawljk,dga
483,www.hngdecor.com,hngdecor,legit
484,justusbosy.gv.vg,justusbosy,legit
485,prospexleads.com,prospexleads,legit
486,orangefornowsee.webatu.com,webatu,legit
487,viwivub.co.cc,viwivub,dga
488,bioneemtec.com,bioneemtec,legit
489,vicereview.co.cc,vicereview,legit
490,slowwaiter.cx.cc,slowwaiter,legit
491,clickbank.com,clickbank,legit
492,comeniusjoinoureurope.ro,comeniusjoinoureurope,legit
493,oujda.no-ip.info,no-ip,legit
494,wrfpmykunwbrscjann.com,wrfpmykunwbrscjann,dga
495,homealone.no-ip.biz,no-ip,legit
496,hawonab.info,hawonab,legit
497,get.file8desktop.com,file8desktop,legit
498,complexfix.com,complexfix,legit
499,www.wajam.com,wajam,legit
500,wizyvopyla.com,wizyvopyla,dga
501,liizt.batarryreanimayion.com,batarryreanimayion,legit
502,upd-stats.cc,upd-stats,legit
503,hgdkykbkaboh.com,hgdkykbkaboh,dga
504,foficyguwow.com,foficyguwow,dga
505,mngtguru.com,mngtguru,legit
506,dwcigpctkhgfok.com,dwcigpctkhgfok,dga
507,leeburton1.no-ip.biz,no-ip,legit
508,1pandaswag.zapto.org,zapto,legit
509,0021719461.d017efaf.01.B0A31687AA8C4374A530BD02751B37BA.n.empty.905.empty.5_1._t_i.ffffffff.empty.168.rc2.a4h9uploading.com,a4h9uploading,legit
510,htkuhrh.co.cc,htkuhrh,dga
511,o4f8.ru,o4f8,legit
512,1463569045.net-testhdd.us,net-testhdd,legit
513,sv.symcb.com,symcb,legit
514,unhcyfuglpsrmnh.com,unhcyfuglpsrmnh,dga
515,031707e0053a.wordbean.net,wordbean,legit
516,www.vpnbestforchina.com,vpnbestforchina,legit
517,shieldcore.co.cc,shieldcore,legit
518,vsckrishna.zapto.org,zapto,legit
519,zip.rgbdomsrv.com,rgbdomsrv,dga
520,stepnet.de,stepnet,legit
521,mommystalk.gv.vg,mommystalk,legit
522,tibumuqel.com,tibumuqel,legit
523,roxxeurii.no-ip.biz,no-ip,legit
524,nichedictionary.com,nichedictionary,legit
525,zanarisv9.no-ip.org,no-ip,legit
526,123noiprocks.no-ip.info,no-ip,legit
527,zjhvgncb.net,zjhvgncb,dga
528,1463533695.net-testhdd.us,net-testhdd,legit
529,cantoryaakovmotzen.com,cantoryaakovmotzen,legit
530,httpbin.org,httpbin,legit
531,sportnet.ddns.net,ddns,legit
532,cdn.adf.ly,adf,legit
533,somethingdifferent.ddns.net,ddns,legit
534,xsslsrv.com,xsslsrv,dga
535,uafwtr.net,uafwtr,legit
536,hadolalat.com,hadolalat,legit
537,hokzavqfss.net,hokzavqfss,dga
538,vbwgz.com,vbwgz,legit
539,hobange89.zapto.org,zapto,legit
540,bearbier.ru,bearbier,legit
541,hhrbn.ru,hhrbn,legit
542,f9zn.yourarchivesstoarge.com,yourarchivesstoarge,legit
543,vzcfd.jetos.com,jetos,legit
544,trafcounters.com,trafcounters,legit
545,us.litecoinpool.org,litecoinpool,legit
546,1nubo.no-ip.biz,no-ip,legit
547,allcompany5.info,allcompany5,legit
548,dakygyzav.com,dakygyzav,dga
549,vegylaheraf.com,vegylaheraf,legit
550,qyfimeluxeqok.com,qyfimeluxeqok,legit
551,stats.newgenonlinesrv.com,newgenonlinesrv,legit
552,markthallegunce.de,markthallegunce,legit
553,rsfoils.co.com.au,rsfoils,legit
554,0feuuoi0d8sf56q1.i5pka225o.com,i5pka225o,dga
555,flatsalad.yourtrap.com,yourtrap,legit
556,lertionk07.be,lertionk07,legit
557,greenherbalteaonline.com,greenherbalteaonline,legit
558,qvtveahsndrhrhheb.com,qvtveahsndrhrhheb,dga
559,hallerindia.com,hallerindia,legit
560,basicprotocol.co.cc,basicprotocol,legit
561,hegylocimemyja.com,hegylocimemyja,legit
562,hkgzrzjuns.net,hkgzrzjuns,dga
563,fynumzg.co.cc,fynumzg,dga
564,www.toppulse.net,toppulse,legit
565,qyawiglgzrp.net,qyawiglgzrp,dga
566,saeuwnfvjabtwktmut.com,saeuwnfvjabtwktmut,dga
567,viweabkkfe.com,viweabkkfe,dga
568,stun.rixtelecom.se,rixtelecom,legit
569,forums.ubuntulinux.jp,ubuntulinux,legit
570,yourareers.com,yourareers,legit
571,djzgawj.biz,djzgawj,dga
572,tfwlveqwf.com,tfwlveqwf,dga
573,www.godaddy.com,godaddy,legit
574,err.rgbdomsrv.com,rgbdomsrv,dga
575,miclkph.info,miclkph,legit
576,kbohjdsc.com,kbohjdsc,dga
577,fuckme666.bounceme.net,bounceme,legit
578,insidiouscoder.com,insidiouscoder,legit
